sample,collectdate,slurry,analysisweightusedg,replicate_tubefromslurry,testtube,softtube,testtube2 (9ml saline solution),imagefromtube,cassette,well,captured,sampleid,labid,image,eggcounts(strongyle),epg(2wellscombined)(strongyle),notes
fpbluemob,23/05/2024,1,18,3b,fec6,3,fec45,b,1,1,y,500655,144636,,0,0,
fpbluemob,23/05/2024,1,18,3b,fec6,3,fec45,b,1,2,y,500655,144636,,0,0,
fpbluemob,23/05/2024,1,18,4a,fec7,2,fec44,a,1,1,y,500654,144636,,1,5,
fpbluemob,23/05/2024,1,18,4a,fec7,2,fec44,a,1,2,y,500654,144636,,0,5,
fpbluemob,23/05/2024,1,18,4b,fec7,2,fec44,b,2,1,y,500653,144636,,3,30,
fpbluemob,23/05/2024,1,18,4b,fec7,2,fec44,b,2,2,y,500653,144636,,3,30,
fpgreenmob,28/05/2024,1,18.2,1a,fec11,1,fec41,,1,1,y,501328,144850,,0,5,
fpgreenmob,28/05/2024,1,18.2,1a,fec11,1,fec41,,1,2,y,501328,144850,,1,5,
fpgreenmob,28/05/2024,1,18.2,1b,fec11,1,fec41,,2,1,y,501327,144850,,0,5,
fpgreenmob,28/05/2024,1,18.2,1b,fec11,1,fec41,,2,2,y,501327,144850,,1,5,
fpgreenmob,28/05/2024,1,18.2,2a,fec12,3,fec42,,1,1,y,501326,144850,,7,45,
fpgreenmob,28/05/2024,1,18.2,2a,fec12,3,fec42,,1,2,y,501326,144850,,2,45,
fpgreenmob,28/05/2024,1,18.2,2b,fec12,3,fec42,,2,1,y,501325,144850,,3,20,
fpgreenmob,28/05/2024,1,18.2,2b,fec12,3,fec42,,2,2,y,501325,144850,,1,20,
fpgreenmob,28/05/2024,1,18.2,2c,fec12,3,fec42,,1,1,y,501324,144850,,1,5,
fpgreenmob,28/05/2024,1,18.2,2c,fec12,3,fec42,,1,2,y,501324,144850,,1,5,
fpgreenmob,28/05/2024,1,18.2,2d,fec12,3,fec42,,2,1,y,501323,144850,,0,0,
fpgreenmob,28/05/2024,1,18.2,2d,fec12,3,fec42,,2,2,y,501323,144850,,0,0,
fpgreenmob,28/05/2024,1,18.2,3a,fec13,4,fec43,,2,1,y,501368,144871,,1,15,
fpgreenmob,28/05/2024,1,18.2,3a,fec13,4,fec43,,2,2,y,501368,144871,,2,15,
fpgreenmob,28/05/2024,1,18.2,3b,fec13,4,fec43,,1,1,y,501367,144871,,1,5,
fpgreenmob,28/05/2024,1,18.2,3b,fec13,4,fec43,,1,2,y,501367,144871,,0,5,
fpgreenmob,28/05/2024,1,18.2,3c,fec13,4,fec43,,2,1,y,501366,144871,,0,0,
fpgreenmob,28/05/2024,1,18.2,3c,fec13,4,fec43,,2,2,y,501366,144871,,0,0,
fpgreenmob,28/05/2024,1,18.2,4a,fec13,4,fec43,,1,1,y,501387,144881,,1,10,
fpgreenmob,28/05/2024,1,18.2,4a,fec13,4,fec43,,1,2,y,501387,144881,,1,10,
fpgreenmob,28/05/2024,1,18.2,4b,fec13,4,fec43,,2,1,y,501386,144881,,1,5,
fpgreenmob,28/05/2024,1,18.2,4b,fec13,4,fec43,,2,2,y,501386,144881,,0,5,
fpgreenmob,28/05/2024,2,8,1a,fec17,1,fec37,,1,1,y,501385,144881,,3,15,
fpgreenmob,28/05/2024,2,8,1a,fec17,1,fec37,,1,2,y,501385,144881,,0,15,
fpgreenmob,28/05/2024,2,8,1b,fec17,1,fec37,,2,1,y,501384,144881,,1,15,
fpgreenmob,28/05/2024,2,8,1b,fec17,1,fec37,,2,2,y,501384,144881,,2,15,
fpgreenmob,28/05/2024,2,8,1c,fec17,1,fec37,,1,1,y,501383,144881,,1,10,
fpgreenmob,28/05/2024,2,8,1c,fec17,1,fec37,,1,2,y,501383,144881,,1,10,
fpgreenmob,28/05/2024,2,8,2a,fec18,3,fec38,,1,1,y,501396,144884,,1,5,
fpgreenmob,28/05/2024,2,8,2a,fec18,3,fec38,,1,2,y,501396,144884,,0,5,
fpgreenmob,28/05/2024,2,8,2b,fec18,3,fec38,,2,1,y,501395,144884,,0,10,
fpgreenmob,28/05/2024,2,8,2b,fec18,3,fec38,,2,2,y,501395,144884,,2,10,
fpgreenmob,28/05/2024,2,8,2c,fec18,3,fec38,,1,1,y,501394,144884,,1,20,
fpgreenmob,28/05/2024,2,8,2c,fec18,3,fec38,,1,2,y,501394,144884,,3,20,
fpgreenmob,28/05/2024,2,8,3a,fec19,4,fec39,,2,1,y,501393,144884,,0,10,
fpgreenmob,28/05/2024,2,8,3a,fec19,4,fec39,,2,2,y,501393,144884,,2,10,
fpgreenmob,28/05/2024,2,8,3b,fec19,4,fec39,,2,1,y,501392,144884,,0,5,
fpgreenmob,28/05/2024,2,8,3b,fec19,4,fec39,,2,2,y,501392,144884,,1,5,
fpgreenmob,28/05/2024,2,8,3c,fec19,4,fec39,,1,1,y,501391,144884,,0,0,
fpgreenmob,28/05/2024,2,8,3c,fec19,4,fec39,,1,2,y,501391,144884,,0,0,
fpgreenmob,28/05/2024,2,8,3d,fec19,4,fec39,,2,1,y,501390,144884,,1,10,
fpgreenmob,28/05/2024,2,8,3d,fec19,4,fec39,,2,2,y,501390,144884,,1,10,
fpbluemob,28/05/2024,1,20,1a,fec1,1,fec50,,1,1,y,501492,144925,,1,10,
fpbluemob,28/05/2024,1,20,1a,fec1,1,fec50,,1,2,y,501492,144925,,1,10,
fpbluemob,28/05/2024,1,20,1b,fec1,1,fec50,,2,1,y,501491,144925,,1,10,
fpbluemob,28/05/2024,1,20,1b,fec1,1,fec50,,2,2,y,501491,144925,,1,10,
fpbluemob,28/05/2024,1,20,1c,fec1,1,fec50,,1,1,y,501490,144925,,2,45,
fpbluemob,28/05/2024,1,20,1c,fec1,1,fec50,,1,2,y,501490,144925,,7,45,
fpbluemob,28/05/2024,1,20,1d,fec1,1,fec50,,2,1,y,501489,144925,,0,0,
fpbluemob,28/05/2024,1,20,1d,fec1,1,fec50,,2,2,y,501489,144925,,0,0,
fpbluemob,28/05/2024,1,20,2a,fec2,3,fec49,,1,1,y,501488,144925,,2,20,
fpbluemob,28/05/2024,1,20,2a,fec2,3,fec49,,1,2,y,501488,144925,,2,20,
fpbluemob,28/05/2024,1,20,2b,fec2,3,fec49,,2,1,y,501487,144925,,0,5,
fpbluemob,28/05/2024,1,20,2b,fec2,3,fec49,,2,2,y,501487,144925,,1,5,
fpbluemob,28/05/2024,1,20,3a,fec3,4,fec48,,1,1,y,501486,144925,,0,10,
fpbluemob,28/05/2024,1,20,3a,fec3,4,fec48,,1,2,y,501486,144925,,2,10,
fpbluemob,28/05/2024,1,20,3b,fec3,4,fec48,,2,1,y,501485,144925,,1,10,
fpbluemob,28/05/2024,1,20,3b,fec3,4,fec48,,2,2,y,501485,144925,,1,10,
fpgreenmob,17/05/2024,3,12.4,1a,fec5,1,fec47,,1,1,y,501534,144946,,2,25,
fpgreenmob,17/05/2024,3,12.4,1a,fec5,1,fec47,,1,2,y,501534,144946,,3,25,
fpgreenmob,17/05/2024,3,12.4,1b,fec5,1,fec47,,2,1,y,501533,144946,,0,5,
fpgreenmob,17/05/2024,3,12.4,1b,fec5,1,fec47,,2,2,y,501533,144946,,1,5,
fpgreenmob,17/05/2024,3,12.4,1c,fec5,1,fec47,,1,1,y,501532,144946,,1,10,
fpgreenmob,17/05/2024,3,12.4,1c,fec5,1,fec47,,1,2,y,501532,144946,,1,10,
fpgreenmob,17/05/2024,3,12.4,1d,fec5,1,fec47,,2,1,y,501531,144946,,0,0,
fpgreenmob,17/05/2024,3,12.4,1d,fec5,1,fec47,,2,2,y,501531,144946,,0,0,
fpgreenmob,17/05/2024,3,12.4,2a,fec6,3,fec46,,1,1,y,501530,144946,,0,20,
fpgreenmob,17/05/2024,3,12.4,2a,fec6,3,fec46,,1,2,y,501530,144946,,4,20,
fpgreenmob,17/05/2024,3,12.4,5b,fec9,6,fec36,,2,1,y,501536,144948,,1,5,
fpgreenmob,17/05/2024,3,12.4,5b,fec9,6,fec36,,2,2,y,501536,144948,,0,5,
fpbluemob,17/05/2024,3,17.6,1a,fec1,1,fec50,,1,1,y,501823,144993,,4,50,
fpbluemob,17/05/2024,3,17.6,1a,fec1,1,fec50,,1,2,y,501823,144993,,6,50,
fpbluemob,17/05/2024,3,17.6,1b,fec1,1,fec50,,2,1,y,501822,144993,,5,40,
fpbluemob,17/05/2024,3,17.6,1b,fec1,1,fec50,,2,2,y,501822,144993,,3,40,
fpbluemob,17/05/2024,3,17.6,1d,fec1,1,fec50,,2,1,y,501820,144993,,0,0,
fpbluemob,17/05/2024,3,17.6,1d,fec1,1,fec50,,2,2,y,501820,144993,,0,0,
fpbluemob,17/05/2024,3,17.6,2a,fec2,2,fec49,,1,1,y,501819,144993,,1,5,
fpbluemob,17/05/2024,3,17.6,2a,fec2,2,fec49,,1,2,y,501819,144993,,0,5,
fpbluemob,17/05/2024,3,17.6,2b,fec2,2,fec49,,2,1,y,501818,144993,,4,35,
fpbluemob,17/05/2024,3,17.6,2b,fec2,2,fec49,,2,2,y,501818,144993,,3,35,
fpbluemob,17/05/2024,3,17.6,3a,fec3,3,fec48,,1,1,y,501817,144993,,0,0,
fpbluemob,17/05/2024,3,17.6,3a,fec3,3,fec48,,1,2,y,501817,144993,,0,0,
fpbluemob,17/05/2024,3,17.6,3b,fec3,3,fec48,,2,1,y,501816,144993,,0,5,
fpbluemob,17/05/2024,3,17.6,3b,fec3,3,fec48,,2,2,y,501816,144993,,1,5,
fpbluemob,17/05/2024,3,17.6,4a,fec4,4,fec47,,1,1,y,501842,145001,,3,15,
fpbluemob,17/05/2024,3,17.6,4a,fec4,4,fec47,,1,2,y,501842,145001,,0,15,
fpbluemob,17/05/2024,3,17.6,4b,fec4,4,fec47,,2,1,y,501841,145001,,0,0,
fpbluemob,17/05/2024,3,17.6,4b,fec4,4,fec47,,2,2,y,501841,145001,,0,0,
fpbluemob,17/05/2024,3,17.6,5a,fec5,5,fec46,,1,1,y,501840,145001,,4,30,
fpbluemob,17/05/2024,3,17.6,5a,fec5,5,fec46,,1,2,y,501840,145001,,2,30,
fpbluemob,17/05/2024,3,17.6,5b,fec5,5,fec46,,2,1,y,501839,145001,,9,50,
fpbluemob,17/05/2024,3,17.6,5b,fec5,5,fec46,,2,2,y,501839,145001,,1,50,
fpbluemob,17/05/2024,3,17.6,5c,fec5,5,fec46,,1,1,y,501838,145001,,0,0,
fpbluemob,17/05/2024,3,17.6,5c,fec5,5,fec46,,1,2,y,501838,145001,,0,0,
fpbluemob,17/05/2024,3,17.6,6a,fec6,6,fec45,,1,1,y,501837,145001,,2,10,
fpbluemob,17/05/2024,3,17.6,6a,fec6,6,fec45,,1,2,y,501837,145001,,0,10,
fpbluemob,17/05/2024,3,17.6,6b,fec6,6,fec45,,2,1,y,501836,145001,,6,60,
fpbluemob,17/05/2024,3,17.6,6b,fec6,6,fec45,,2,2,y,501836,145001,,6,60,
fpbluemob,17/05/2024,3,17.6,6c,fec6,6,fec45,,1,1,y,501835,145001,,0,10,
fpbluemob,17/05/2024,3,17.6,6c,fec6,6,fec45,,1,2,y,501835,145001,,2,10,有nematodirus
fpbluemob,03/06/2024,1,10,1a,fec5,5,fec45,,1,1,y,502182,145184,,1,5,
fpbluemob,03/06/2024,1,10,1a,fec5,5,fec45,,1,2,y,502182,145184,,0,5,
