image_id,egg,length.px,width.px,id
501490 - 2,4,71.6,39.41,others
501490 - 2,5,71.54,40.71,others
501490 - 2,6,69.62,31.28,others
501488 - 1,1,70.69,35.57,others
501488 - 2,1,79.26,36.51,others
501488 - 2,2,77.4,34.04,others
501486 - 2,1,65.3,40.46,others
501485 - 1,1,72.25,30.41,others
501534 - 1,1,78.77,44.1,others
501534 - 2,1,74.46,37.36,others
501534 - 2,2,62.43,32.25,others
501533 - 2,1,76.06,33.11,others
501532 - 2,1,70.68,32.2,others
501530 - 2,1,66.07,35,others
501530 - 2,2,77.39,34.44,others
501530 - 2,3,65.76,35.34,others
,,70.6,32.45,others
,,67.27,37.85,others
,,61.74,34.01,others
,,62.2,34.21,others
,,65.19,29,others
,,63.95,28.86,others
,,76.58,38.95,others
,,75.17,33.29,others
,,78.34,36.67,others
,,72.01,39.92,others
,,79.61,44.94,others
,,79.63,34.53,others
,,67.68,37.36,others
,,76.16,33.24,others
,,61.35,33.24,others
,,70.03,30.07,others
,,64.03,35.06,others
,,74.25,31.3,others
,,72.95,31.3,others
,,72.56,32.14,others
,,75.17,36.01,others
,,75.18,34.89,others
,,79.2,36.67,others
,,70.26,40.7,others
,,65.52,37.36,others
,,64.03,34.71,others
,,79.62,34.71,others
,,78.41,43.05,others
,,77.32,42.3,others
,,73.5,36.88,others
,,81.39,43.14,others
,,70.11,39.2,others
,,64.07,35.01,others
,,74.06,37.12,others
,,74.73,34.18,others
,,63.2,34.01,others
,,73.93,33.62,others
,,64.14,47.17,others
,,75.47,33.29,others
,,71.85,39.45,others
,,87.62,37.01,others
,,72.11,34.93,others
,,66.37,36.89,others
,,74.2,31.06,others
,,75.66,33.3,others
,,79.43,44.15,others
,,73.35,41,others
,,68.31,37.64,others
,,76.48,41.59,others
,,79.2,42.94,others
,,69.72,38.47,others
,,61.47,33.54,others
,,73.01,41.23,others
,,70.04,39.81,others
,,65.76,36.24,others
,,77.16,42.01,others
,,70.01,34.01,others
,,78.04,41.87,others
,,71.06,33.11,others
,,68.49,31.99,coop
,,77.12,34.7,coop
,,71.06,33.5,others
,,61.92,32.56,others
,,72.18,40.21,others
,,70.84,32.89,others
,,75.92,41.48,others
,,75.59,36.2,others
,,70.08,37.4,others
,,73.91,32.27,coop
,,73.25,31.31,others
,,61.52,33.95,others
,,75.51,34.21,others
,,70.6,34.08,others
,,71.02,32.04,others
,,67.27,34.83,others
,,76.43,29,others
,,65.52,30.01,others
,,66.73,30.7,others
,,72.46,33.29,others
,,62.8,34.21,others
,,69.46,29.35,others
,,78.06,35.06,others
,,71.01,31.91,others
,,69.15,35.92,others
,,71.29,31.5,others
,,73.62,36,others
,,64.62,32.02,others
,,70.58,37.64,others
,,73.16,33.35,others
,,77.01,34.51,others
,,72,33.32,others
,,73.93,35.6,others
,,74.62,36.07,others
,,71.21,39.26,others
,,76.56,36.06,others
,,69.46,31.75,others
,,64.03,37.5,others
,,67.95,32.75,others
,,78.83,34.52,coop
,,70.96,30.19,coop
,,67.59,34.56,others
,,72.78,31.86,others
,,61.14,36.07,others
,,61.29,33.34,others
,,69.59,30.39,others
